id;lados;tamanho;data_criacao;ultima_modificacao
1;74738;58738;2022-09-20T20:53:32;2022-09-21T00:06:43
2;28142;71877;2022-09-21T05:27:39;2022-09-20T23:03:50
3;55493;30616;2022-09-21T03:07:03;2022-09-21T12:51:17
4;53034;5499;2022-09-21T15:07:49;2022-09-21T12:16:34
5;83716;21340;2022-09-21T01:13:14;2022-09-21T13:15:46
6;42131;84749;2022-09-21T18:58:33;2022-09-20T23:39:36
7;59660;14610;2022-09-21T06:55:32;2022-09-20T23:24:40
8;29588;60680;2022-09-21T07:09:05;2022-09-21T13:19:43
9;12273;54571;2022-09-21T12:38:54;2022-09-21T16:34:09
10;57227;3119;2022-09-21T13:42:02;2022-09-20T20:28:15
